,PC 1,PC 2,Class
580,-31.468575,29.689081,All candidates
581,-18.848604,38.743065,All candidates
582,59.42223,-24.949112,All candidates
583,-34.84603,-34.796925,All candidates
584,-3.3330066,-60.711254,All candidates
585,-39.59343,-41.756058,All candidates
586,42.01187,-42.476456,All candidates
587,-4.409608,-63.47245,All candidates
588,16.759285,-18.03475,All candidates
589,-82.073,4.252032,All candidates
590,-83.39428,3.866527,All candidates
591,23.34086,-28.95854,All candidates
592,20.362513,-32.20525,All candidates
593,20.36252,-32.20524,All candidates
594,55.086235,-21.220142,All candidates
595,8.340472,-63.70735,All candidates
596,38.656002,46.09298,All candidates
597,46.832775,16.89434,All candidates
598,2.0233383,55.27653,All candidates
599,44.11963,-36.319736,All candidates
600,-32.521347,26.440195,All candidates
601,12.505287,24.975183,All candidates
602,9.462538,-63.166996,All candidates
603,38.171326,-28.135998,All candidates
604,-16.402355,25.129028,All candidates
605,-62.395115,-28.416195,All candidates
606,-62.395233,-28.41623,All candidates
607,-62.395435,-28.416052,All candidates
608,-26.319124,30.907827,All candidates
609,-4.838014,-43.570576,All candidates
610,9.713855,-65.35995,All candidates
611,35.027863,-45.121014,All candidates
612,-32.649464,27.504808,All candidates
613,-70.83526,-17.704273,All candidates
614,1.9818928,45.04557,All candidates
615,-41.74947,2.5571241,All candidates
616,-81.222244,3.8065193,All candidates
617,-4.7703853,-43.583252,All candidates
618,37.44875,-31.983803,All candidates
619,5.1031322,80.36086,All candidates
620,3.4873307,34.071445,All candidates
621,24.125263,7.2511573,All candidates
622,13.990711,77.20181,All candidates
623,-17.045046,68.99201,All candidates
624,12.364123,7.902114,All candidates
625,-24.985989,32.030975,All candidates
626,37.41925,-28.748514,All candidates
627,-33.456314,23.076557,All candidates
628,-50.623005,38.314884,All candidates
629,25.908022,31.456642,All candidates
630,25.908175,31.45674,All candidates
631,22.666117,14.448467,All candidates
632,35.276295,12.859084,All candidates
633,-67.68119,-25.945616,All candidates
634,34.88636,-20.352953,All candidates
635,59.5353,-24.985363,All candidates
636,-23.719442,45.532803,All candidates
637,6.354586,-11.594507,All candidates
638,4.297291,78.621376,All candidates
639,4.1336536,20.51946,All candidates
640,37.338436,-32.0643,All candidates
641,24.608381,30.440975,All candidates
642,24.608704,30.441309,All candidates
643,-22.61833,37.718422,All candidates
644,-65.77232,-26.01291,All candidates
645,14.060398,77.25483,All candidates
646,14.348222,24.938892,All candidates
647,13.7436,78.78858,All candidates
648,-53.579956,33.991333,All candidates
649,19.927685,17.430342,All candidates
650,41.229336,-43.319378,All candidates
651,17.716238,-37.33206,All candidates
652,-14.149665,71.719986,All candidates
653,36.65499,-52.444717,All candidates
654,37.248554,-53.973972,All candidates
655,-80.23124,0.6804075,All candidates
656,6.6982245,80.076584,All candidates
657,6.69822,80.0764,All candidates
658,-27.79586,-0.5867718,All candidates
659,38.05458,41.848457,All candidates
660,-26.971455,-8.027655,All candidates
661,28.348991,-29.550114,All candidates
